anio,mes,unidades,venta,utilidad
2018,1,5,788834,79000
2018,2,4,788834,79000
2018,3,6,788834,79000
2018,4,4,637000,134200
2018,5,7,671000,220000
2018,6,5,1150000,172000
2018,7,6,1331000,228000
2018,8,8,1616000,167817
2018,9,2,790000,47000
2018,10,4,615000,91000
2018,11,9,1676000,210000
2018,12,3,930000,70000
2019,1,7,1590000,142200
2019,2,5,552000,85000
2019,3,8,1538000,136500
2019,4,7,2082000,236700
2019,5,5,1436000,184000
2019,6,4,744000,100500
2019,7,8,1903500,243000
2019,8,7,1642000,237000
2019,9,3,649000,114000
2019,10,6,2318010,258000
2019,11,5,955000,171406
2019,12,7,1463000,243000
2020,1,0,0,0
2020,2,0,0,0
2020,3,3,845000,150500
2020,4,4,845000,150500
2020,5,3,1100000,125500
2020,6,11,2693000,358000
2020,7,7,1792000,321000
2020,8,4,613000,104000
2020,9,7,1053300,193000
2020,10,8,1789000,279450
2020,11,10,2326000,343350
2020,12,8,2115000,294500
2021,1,8,1910000,189700
2021,2,6,1350000,176600
2021,3,12,2123800,500800
2021,4,7,846200,145200
2021,5,10,2455300,278050
2021,6,12,2460000,320600
2021,7,8,1859000,230800
2021,8,13,2438000,441000
2021,9,8,2476000,420300
2021,10,7,3395000,552700
2021,11,11,5058999,633800
2021,12,9,4060999,579600
2022,1,7,2624000,406367
2022,2,8,3293000,466000
2022,3,18,5330000,533000
2022,4,11,5223000,455000
2022,5,10,3530000,476000
2022,6,16,6383000,875800
2022,7,7,3563000,522000
2022,8,15,5088000,502000
2022,9,14,4190000,508500
2022,10,5,2100000,289500
2022,11,7,2229000,343000
2022,12,10,6356000,1122000
2023,1,9,3672000,477000
2023,2,6,1780000,236700
2023,3,5,2755000,471000
2023,4,2,1200000,170000
2023,5,4,1144000,210400
2023,6,11,5110000,553000
2023,7,9,2669000,575000
2023,8,6,3624000,551000
2023,9,2,819000,63700
2023,10,3,920000,185000
2023,11,2,709000,129000
2023,12,8,2204000,336000
2024,1,2,73500,99000
2024,2,3,2018400,323400
2024,3,3,1130000,80000
2024,4,5,1819000,540000
2024,5,5,2020000,422000
2024,6,6,1958000,150750
2024,7,3,685000,37500
2024,8,7,4729000,725000
2024,9,6,2978000,505000
2024,10,5,1600000,60000
2024,11,5,2298000,309000
2024,12,6,2219000,178000
2025,1,5,895000,115000
2025,2,3,1638000,281000
2025,3,0,0,0
2025,4,7,2669000,265000
2025,5,2,1250000,170000
2025,6,5,1949000,150750
2025,7,3,914000,115000
2025,8,2,678000,133500
2025,9,1,315000,85000
2025,10,4,1349000,220000
2025,11,3,1390000,439000
2025,12,4,2019000,350000
