anio,mes,gastos
2021,1,160000
2021,2,160000
2021,3,338300
2021,4,185000
2021,5,241000
2021,6,195000
2021,7,195000
2021,8,237000
2021,9,213800
2021,10,230500
2021,11,267000
2021,12,288000
2022,1,386100
2022,2,323000
2022,3,388000
2022,4,323000
2022,5,275000
2022,6,317000
2022,7,489000
2022,8,364000
2022,9,338000
2022,10,290500
2022,11,288000
2022,12,471500
2023,1,465500
2023,2,381500
2023,3,365500
2023,4,346500
2023,5,346500
2023,6,346500
2023,7,442000
2023,8,483000
2023,9,379000
2023,10,379000
2023,11,344000
2023,12,392000
2024,1,337000
2024,2,337000
2024,3,272500
2024,4,341000
2024,5,311800
2024,6,186750
2024,7,287800
2024,8,300800
2024,9,344800
2024,10,301300
2024,11,235300
2024,12,293300
2025,1,442500
2025,2,325500
2025,3,315000
2025,4,274000
2025,5,281500
2025,6,281500
2025,7,253700
2025,8,300800
2025,9,301000
2025,10,301300
2025,11,301000
2025,12,425000
