anio,mes,categoria,detalle,monto,hoja,etiqueta
2020,10,Otros,Otros,54950,OCT 2020,OTROS
2020,11,Otros,Otros,34350,NOV 2020,OTROS
2021,1,Otros,Otros,60700,ene 21,OTROS
2021,2,Otros,Otros,11600,feb,OTROS
2021,4,Otros,Otros,27500,abril 21,OTROS
2021,5,Facturaciones,Facturaciones,17500,may 21,FACTURACION
2021,5,Otros,Lavado,7000,may 21,LAVADO
2021,6,Otros,Otros,25500,jun 21,OTROS
2021,7,Otros,Otros,23000,jul 21,OTROS
2021,8,Casas,Sin especificar,10000,ago 21,RENTA CASA
2021,8,Facturaciones,Facturaciones,23500,ago 21,FACTURAS
2021,8,Otros,Otros,20000,ago 21,OTROS
2021,9,Facturaciones,Facturaciones,55500,sep 21,FACTURAS
2021,10,Otros,Airbnb,10000,oct 21,ARB
2021,10,Otros,Otros,11100,oct 21,OTROS
2021,11,Facturaciones,Facturaciones,26500,NOV 21,REFACTURACIONES
2021,11,Otros,Renta de carro,5000,NOV 21,RENTA CARRO
2021,12,Facturaciones,Facturaciones,9000,DIC 21,REFACTURAS
2021,12,Otros,Intereses,13800,DIC 21,INTERES
2021,12,Otros,Renta de carro,19800,DIC 21,RENTA RIO
2022,1,Facturaciones,Facturaciones,29000,ENE 22,FACTURAS
2022,1,Otros,Otros,8500,ENE 22,OTROS
2022,2,Facturaciones,Facturaciones,22000,FEB 22,FACTURAS
2022,4,Facturaciones,Facturaciones,62000,ABRIL22,FACTURAS
2022,5,Otros,Otros,17500,MAYO22,OTROS
2022,9,Otros,Intereses,21000,SEP22,INTERESES
2022,10,Facturaciones,Facturaciones,11500,OCT22,FACTURACIONES
2022,10,Otros,Intereses,17000,OCT22,INTERESES
2022,11,Facturaciones,Facturaciones,5000,NOV 22,FACTURAS
2022,11,Otros,Intereses,17000,NOV 22,INETRESES
2022,12,Casas,Sin especificar,9000,DIC 22,RENTAS
2022,12,Facturaciones,Facturaciones,19500,DIC 22,REFACTURAS
2023,2,Facturaciones,Facturaciones,15000,FEB23,FACTURAS
2023,2,Otros,Intereses,25000,FEB23,INTERESES
2023,3,Casas,San Carlos,14000,MAR23,RENTA SAN CARLOS
2023,3,Facturaciones,Facturaciones,85000,MAR23,FACTURAS
2023,3,Otros,Intereses,10000,MAR23,INTERESES
2023,4,Casas,San Carlos,33000,abril23,RENTA SAN CARLOS
2023,4,Facturaciones,Facturaciones,90000,abril23,FACTURAS
2023,4,Otros,Intereses,30000,abril23,INTEREES
2023,5,Casas,San Carlos,18000,MAYO23,SAN CARLOS
2023,5,Casas,Sin especificar,20000,MAYO23,RENTA
2023,5,Facturaciones,Facturaciones,45000,MAYO23,FACTURAS
2023,5,Otros,Intereses,30000,MAYO23,INETRESES
2023,6,Casas,San Carlos,25000,JUNIO23,SAN CARLOS
2023,6,Facturaciones,Facturaciones,46000,JUNIO23,FACTURAS
2023,6,Otros,Intereses,30000,JUNIO23,INTERESES
2023,7,Casas,San Carlos,50000,JULIO23,RENTA SAN CARLOS
2023,7,Facturaciones,Facturaciones,15000,JULIO23,FACTURAS
2023,7,Facturaciones,Facturaciones,10000,JULIO23,FACTURAS BANORTE
2023,7,Otros,Intereses,25000,JULIO23,INETEREES
2023,7,Otros,Renta de carro,12800,JULIO23,RENTA CARRO
2023,8,Casas,San Carlos,40500,AGOSTO23,RENTA SAN CARLOS
2023,8,Facturaciones,Facturaciones,29000,AGOSTO23,FACTURAS
2023,8,Facturaciones,Facturaciones,7500,AGOSTO23,FACTURAS BANORTE
2023,8,Otros,Intereses,25000,AGOSTO23,INETEREES
2023,9,Casas,San Carlos,15400,SEP23,RENTA SAN CARLOS
2023,9,Facturaciones,Facturaciones,92000,SEP23,COMISIONES BANORTE
2023,9,Facturaciones,Facturaciones,20000,SEP23,FACTURAS
2023,9,Facturaciones,Facturaciones,100000,SEP23,FACTURAS BANORTE
2023,9,Otros,Intereses,25000,SEP23,INETEREES
2023,9,Otros,Renta de carro,33000,SEP23,RENTA CARRO
2023,10,Casas,San Carlos,46500,AGO23,RENTA SAN CARLOS
2023,10,Facturaciones,Facturaciones,10000,AGO23,FACTURAS BANORTE
2023,10,Otros,Intereses,25000,AGO23,INETEREES
2023,10,Otros,Renta de carro,30000,AGO23,RENTA CARRO
2023,11,Casas,San Carlos,8700,NOV23,RENTA SAN CARLOS
2023,11,Facturaciones,Facturaciones,8000,NOV23,FACTURAS
2023,11,Facturaciones,Facturaciones,20000,NOV23,FACTURAS BANORTE
2023,11,Otros,Intereses,25000,NOV23,INETEREES
2023,11,Otros,Renta de carro,48700,NOV23,RENTA CARRO
2023,12,Casas,San Carlos,13500,DIC23,RENTA SAN CARLOS
2023,12,Facturaciones,Facturaciones,22500,DIC23,FACTURAS BANORTE
2023,12,Otros,Intereses,25000,DIC23,INETEREES
2023,12,Otros,Renta de carro,121000,DIC23,RENTA CARRO
2024,1,Otros,Renta de carro,150000,ENE24,RENTA CARRO
2024,1,Otros,Seguros,50000,ENE24,SEGURO
2024,3,Otros,Seguros,50000,MAR24,SEGURO BANCOMER
2024,4,Casas,San Carlos,42500,ABIL24,RENGTA SAN CARLOS
2024,4,Otros,Cachorros,55000,ABIL24,CACHOROS
2024,6,Casas,Sin especificar,21000,JUNIO24,RENTA CASA
2024,6,Facturaciones,Facturaciones,15000,JUNIO24,FACTURACIONES
2024,8,Casas,San Carlos,30000,AGOS24,RENTA CASA SC
2024,8,Facturaciones,Facturaciones,35000,AGOS24,FACURACIONES
2024,9,Casas,San Carlos,30000,SEP24,RENTA CASA SC
2024,9,Facturaciones,Facturaciones,35000,SEP24,FACURACIONES
2024,10,Casas,San Carlos,21000,OCT24,RENTA CASA SC
2024,10,Casas,Sin especificar,28000,OCT24,RENTA CASA
2024,10,Facturaciones,Facturaciones,30000,OCT24,FACURACIONES
2024,11,Casas,Sin especificar,28000,NOV24,RENTA CASA
2024,11,Facturaciones,Facturaciones,29000,NOV24,FACURACIONES
2024,12,Casas,San Carlos,7000,DIC24,SAN CARLOS
2024,12,Facturaciones,Facturaciones,80000,DIC24,FACTURACIONES
2024,12,Facturaciones,Facturaciones,9000,DIC24,COMISONES
2025,1,Casas,Encinos,30000,ENE25,RENTA ENCINOS
2025,1,Facturaciones,Facturaciones,18000,ENE25,FACTURACIONES
2025,1,Facturaciones,Facturaciones,5000,ENE25,COMISONES
2025,2,Casas,Encinos,17000,FEB25,RENTA ENCINOS
2025,2,Casas,San Carlos,2000,FEB25,SAN CARLOS
2025,2,Facturaciones,Facturaciones,18000,FEB25,FACTURACIONES
